day_of_week,driver_age,driver_sex,educational_level,driving_experience,vehicle_type,vehicle_owner,service_year,accident_area,lanes,road_allignment,junction_type,surface_type,road_surface_conditions,light_condition,weather_condition,collision_type,vehicles_involved,casualties,vehicle_movement,casualty_class,casualty_sex,casualty_age,casualty_severity,pedestrian_movement,accident_cause,hour,minute
2,2,2,3,3,6,4,6,7,5,6,8,1,1,4,3,9,3,1,3,4,3,6,4,6,1,17,6
7,5,2,3,5,1,4,6,7,5,6,8,1,1,4,3,9,1,1,3,1,2,4,3,6,12,15,46
1,2,2,5,5,15,4,5,8,5,6,8,1,1,4,3,7,2,1,3,1,1,1,3,6,1,18,11
5,1,3,5,3,9,4,2,2,5,6,2,1,1,4,3,2,3,1,8,1,2,1,3,6,1,19,6
6,1,2,5,4,1,4,6,8,3,6,1,3,1,4,3,3,2,1,3,1,2,2,3,6,10,19,1
7,3,3,2,3,8,4,6,7,4,6,1,1,1,4,3,9,2,1,10,1,2,2,3,6,4,12,11
1,1,2,5,4,6,4,3,8,7,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,13,15,58
3,1,2,2,5,8,4,4,8,5,6,8,1,1,1,3,9,2,2,3,4,3,6,4,6,12,21,47
5,5,2,5,2,1,4,3,7,3,7,2,4,1,1,3,2,2,1,3,1,1,5,3,6,5,23,46
3,1,2,1,1,1,4,6,7,3,7,1,1,1,1,3,9,3,3,3,1,2,5,3,6,11,1,2
1,4,2,5,3,10,4,6,8,3,6,2,1,1,4,3,6,2,1,3,4,3,6,4,6,8,9,47
3,1,2,3,2,10,4,2,7,3,6,8,1,1,4,3,2,2,1,3,1,2,1,2,6,8,18,51
6,2,2,5,4,1,4,2,7,1,6,1,1,1,1,3,2,2,1,1,3,2,2,3,7,2,21,51
3,1,2,2,5,6,4,4,10,7,6,3,1,1,4,3,3,2,2,3,4,3,6,4,6,11,18,29
6,4,2,2,4,11,4,6,7,1,2,8,5,1,4,3,9,1,1,3,3,1,4,3,2,10,14,52
5,1,2,5,3,1,4,6,8,5,6,2,1,1,4,3,9,3,4,3,3,1,3,3,6,10,18,20
4,1,2,2,3,6,4,6,8,3,6,8,1,1,1,3,3,1,1,5,3,2,2,3,2,14,21,16
